variant,n_seeds,mean,std
HGT-Full,5,59.6,1.3416407864998738
HGT-2Layer,3,60.333333333333336,4.163331998932266
HGT-4Layer,3,60.666666666666664,0.5773502691896258
HGT-1Layer,3,62.0,1.0
HGT-Homo,5,66.0,2.6457513110645907
GIN-Base,5,66.6,8.792041856133308
