method,instance,seed,timestep,mean_makespan
HomoHGT,FT10,4,8000,2588.0
HomoHGT,FT10,4,16000,2622.0
HomoHGT,FT10,4,24000,2413.0
HomoHGT,FT10,4,32000,1919.0
HomoHGT,FT10,4,40000,1607.0
HomoHGT,FT10,4,48000,1595.0
HomoHGT,FT10,4,50000,1573.0
