method,instance,seed,timestep,mean_makespan
ABL_HGT-1Layer,FT06,2,8064,85.0
ABL_HGT-1Layer,FT06,2,16128,82.0
ABL_HGT-1Layer,FT06,2,24048,62.0
ABL_HGT-1Layer,FT06,2,32112,64.0
ABL_HGT-1Layer,FT06,2,40032,61.0
ABL_HGT-1Layer,FT06,2,48096,66.0
ABL_HGT-1Layer,FT06,2,50112,67.0
